sr no,Content ID,User ID,reaction Type,Datetime,content type,category,sentiment,score
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,5d454588-283d-459d-915d-c48a2cb4c27f,disgust,11/7/2020 9:43,photo,Studying,negative,0
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,92b87fa5-f271-43e0-af66-84fac21052e6,dislike,6/17/2021 12:22,photo,Studying,negative,10
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,163daa38-8b77-48c9-9af6-37a6c1447ac2,scared,4/18/2021 5:13,photo,Studying,negative,15
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,34e8add9-0206-47fd-a501-037b994650a2,disgust,1/6/2021 19:13,photo,Studying,negative,0
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,9b6d35f9-5e15-4cd0-a8d7-b1f3340e02c4,interested,8/23/2020 12:25,photo,Studying,positive,30
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,7918d465-0953-4f20-9e28-539e74c82e2f,peeking,12/7/2020 6:27,photo,Studying,neutral,35
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,fa3e42f0-71d8-455f-b024-e52d5c27a145,cherish,4/11/2021 17:35,photo,Studying,positive,70
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,b0c22f82-b882-4394-bf27-6dfadf26e5c2,hate,1/27/2021 8:32,photo,Studying,negative,5
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,1932a904-86ba-4438-bb52-b7e6516a4019,peeking,4/1/2021 22:54,photo,Studying,neutral,35
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,,love,8/4/2020 5:05,photo,Studying,positive,65
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,f50ac030-3af8-4e07-aacf-dccff353b8f6,indifferent,11/7/2020 8:36,photo,Studying,neutral,20
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,b09e3125-2162-443b-bea0-25895b7605bc,scared,11/2/2020 6:28,photo,Studying,negative,15
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,b143cd2b-20b1-4e9c-9bb7-cfb359b33d01,interested,11/1/2020 1:16,photo,Studying,positive,30
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,48e834aa-fd4a-4206-93e8-ac8fdac613bc,hate,10/7/2020 18:39,photo,Studying,negative,5
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,7246fed1-8725-4dbb-bccd-5451346f122d,scared,9/3/2020 18:51,photo,Studying,negative,15
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,9664d628-9163-4aae-94e0-311f3bdb2f11,super love,2/24/2021 5:09,photo,Studying,positive,75
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,2dd186bb-7a28-4e80-99c7-f1936afc7b49,peeking,9/23/2020 6:24,photo,Studying,neutral,35
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,f4ed8f9c-5eac-4d77-a206-c60afda2921a,indifferent,2/24/2021 11:37,photo,Studying,neutral,20
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,5d454588-283d-459d-915d-c48a2cb4c27f,interested,5/22/2021 19:44,photo,Studying,positive,30
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,,intrigued,1/31/2021 16:03,photo,Studying,positive,45
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,35d6a1f3-e358-4d4b-8074-05f3b7f35c2a,peeking,11/20/2020 17:26,photo,Studying,neutral,35
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,c64c5004-6ab5-4faa-9fcd-8039fe57799d,worried,4/11/2021 20:47,photo,Studying,negative,12
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,4cff698b-def1-497c-a78e-75058de67fe8,like,6/13/2021 16:46,photo,Studying,positive,50
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,0a1cde57-79ab-4c61-b664-1d3b290b43cf,heart,4/11/2021 14:29,photo,Studying,positive,60
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,afab7336-04d3-45fe-8917-0327c56e7435,worried,3/2/2021 19:21,photo,Studying,negative,12
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,29ba1f29-2e45-41bd-9c43-05d0dae6c1c6,hate,6/27/2020 18:44,photo,Studying,negative,5
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,e74edcea-5db4-4412-a4ce-eb7c5adc314a,hate,5/9/2021 21:05,photo,Studying,negative,5
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,69527334-c362-47df-87fc-5e2b5e2605e5,cherish,8/4/2020 23:58,photo,Studying,positive,70
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,bc142f57-1307-46c6-9975-8c3a1e5f540c,super love,8/28/2020 3:57,photo,Studying,positive,75
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,,intrigued,8/25/2020 8:21,photo,Studying,positive,45
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,d6204684-926d-41db-ae9c-a7bf2e76313a,scared,4/20/2021 23:48,photo,Studying,negative,15
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,941db1b1-270d-47f8-8a96-43f5a7481f03,interested,3/7/2021 12:40,photo,Studying,positive,30
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,163daa38-8b77-48c9-9af6-37a6c1447ac2,indifferent,5/24/2021 3:21,photo,Studying,neutral,20
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,568e7c6f-b1e9-4a85-897c-aaaaa0ce8832,super love,1/24/2021 11:03,photo,Studying,positive,75
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,13c06e7e-833d-47eb-a790-5e09ccfd8d2c,disgust,4/9/2021 2:46,photo,Studying,negative,0
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,5ad56e97-58f6-4e66-9b8f-5c16358a9a97,super love,2/2/2021 3:43,photo,Studying,positive,75
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,bcdf88dc-2a52-4716-bc24-a1b46040c8ce,interested,2/4/2021 3:06,photo,Studying,positive,30
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,69532ce2-1ffe-4187-8042-0230d115b24e,dislike,11/9/2020 2:49,photo,Studying,negative,10
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,8f3d5674-544d-4f70-b4c1-7b9d93371855,scared,9/29/2020 16:00,photo,Studying,negative,15
40,97522e57-d9ab-4bd6-97bf-c24d952602d2,,dislike,11/29/2020 21:33,photo,Studying,negative,10
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,9be473d9-cfdf-4954-bae2-09b0555a8ebb,want,2/13/2021 7:54,photo,Studying,positive,70
42,97522e57-d9ab-4bd6-97bf-c24d952602d2,48e26178-5cdd-4568-9990-d3bc5937910b,interested,7/14/2020 5:28,photo,Studying,positive,30
43,97522e57-d9ab-4bd6-97bf-c24d952602d2,ed5e1675-94a8-482c-8b43-1b9bb71d0495,indifferent,8/23/2020 10:30,photo,Studying,neutral,20
44,97522e57-d9ab-4bd6-97bf-c24d952602d2,d81dc9d9-a614-40f1-9dd4-7a4a05bac243,worried,5/10/2021 9:27,photo,Studying,negative,12
45,97522e57-d9ab-4bd6-97bf-c24d952602d2,d0ea9a00-4ea9-4c81-b16a-a20b72f824ea,hate,3/15/2021 3:59,photo,Studying,negative,5
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,ddd079a8-00dd-4aab-9551-11961171db16,dislike,6/25/2020 17:01,photo,healthy eating,negative,10
48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,cbc99939-e6a6-4269-9819-bffce6f38751,intrigued,9/13/2020 0:11,photo,healthy eating,positive,45
49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,289044c8-e74c-4814-898a-b3b5eba6e46e,peeking,8/20/2020 18:17,photo,healthy eating,neutral,35
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,34e8add9-0206-47fd-a501-037b994650a2,scared,2/11/2021 4:53,photo,healthy eating,negative,15
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,a483c273-aee5-44bc-883e-d6963157aa4c,hate,3/8/2021 10:40,photo,healthy eating,negative,5
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,8b49caad-bcc5-43de-bf40-34a66ff8805c,disgust,3/28/2021 21:15,photo,healthy eating,negative,0
53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,e6a52b6a-20ec-4b09-bbb7-4a1138014985,hate,5/25/2021 1:00,photo,healthy eating,negative,5
54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,48e26178-5cdd-4568-9990-d3bc5937910b,like,3/15/2021 12:17,photo,healthy eating,positive,50
55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,3efc3621-873a-4b80-a0cb-27e531d600be,love,5/5/2021 16:26,photo,healthy eating,positive,65
56,9f737e0a-3cdd-4d29-9d24-753f4e3be810,,love,8/31/2020 0:21,photo,healthy eating,positive,65
57,9f737e0a-3cdd-4d29-9d24-753f4e3be810,91fa7240-3d29-4dd0-baf1-ace7742a6e3f,heart,6/16/2021 3:02,photo,healthy eating,positive,60
58,9f737e0a-3cdd-4d29-9d24-753f4e3be810,afab7336-04d3-45fe-8917-0327c56e7435,indifferent,7/7/2020 10:52,photo,healthy eating,neutral,20
59,9f737e0a-3cdd-4d29-9d24-753f4e3be810,78703a69-8edc-458f-b0fc-85d96501dcdc,peeking,8/20/2020 7:59,photo,healthy eating,neutral,35
60,9f737e0a-3cdd-4d29-9d24-753f4e3be810,054b5d2a-7ee3-49c8-912a-1cf58389ae60,love,9/23/2020 11:15,photo,healthy eating,positive,65
61,9f737e0a-3cdd-4d29-9d24-753f4e3be810,7adafb3c-7c7c-492b-be5b-5ddd9ff1316a,like,3/24/2021 5:56,photo,healthy eating,positive,50
63,230c4e4d-70c3-461d-b42c-ec09396efb3f,ad4bd878-55e7-487c-a4db-470b23bbd832,hate,12/7/2020 19:13,photo,healthy eating,negative,5
64,230c4e4d-70c3-461d-b42c-ec09396efb3f,425b7021-0409-4358-af39-2bff14197d0a,super love,8/3/2020 16:41,photo,healthy eating,positive,75
65,230c4e4d-70c3-461d-b42c-ec09396efb3f,15cf4392-8541-422b-8957-a9c0380c11d9,adore,1/10/2021 15:36,photo,healthy eating,positive,72
66,230c4e4d-70c3-461d-b42c-ec09396efb3f,4c731e48-0377-4d7d-b4c8-b2174b774ed8,scared,9/20/2020 8:48,photo,healthy eating,negative,15
67,230c4e4d-70c3-461d-b42c-ec09396efb3f,64b33556-9ecf-4ebc-8b4c-f829ab1a4881,cherish,7/20/2020 14:06,photo,healthy eating,positive,70
68,230c4e4d-70c3-461d-b42c-ec09396efb3f,d0ea9a00-4ea9-4c81-b16a-a20b72f824ea,adore,10/24/2020 12:15,photo,healthy eating,positive,72
69,230c4e4d-70c3-461d-b42c-ec09396efb3f,cfe50481-7c50-48fa-97fa-89b6f137e1bd,interested,6/6/2021 1:27,photo,healthy eating,positive,30
70,230c4e4d-70c3-461d-b42c-ec09396efb3f,54a8e072-5369-4122-9189-43b55e1a4ba2,heart,12/25/2020 0:09,photo,healthy eating,positive,60
71,230c4e4d-70c3-461d-b42c-ec09396efb3f,15c2ba5b-eeb6-4d9b-a0e2-7d5461a21c0a,like,6/14/2021 7:56,photo,healthy eating,positive,50
72,230c4e4d-70c3-461d-b42c-ec09396efb3f,,like,6/5/2021 18:00,photo,healthy eating,positive,50
73,230c4e4d-70c3-461d-b42c-ec09396efb3f,d71363d5-6468-44b0-b641-94c4776bce98,hate,11/18/2020 23:37,photo,healthy eating,negative,5
74,230c4e4d-70c3-461d-b42c-ec09396efb3f,acbac577-54c9-4476-af3c-a3241a3f4a19,interested,5/9/2021 2:42,photo,healthy eating,positive,30
75,230c4e4d-70c3-461d-b42c-ec09396efb3f,89d6bd9d-ce6b-42e5-bb9b-ece3b338396d,dislike,5/11/2021 8:38,photo,healthy eating,negative,10
76,230c4e4d-70c3-461d-b42c-ec09396efb3f,5870e611-6218-48e1-a9a0-ba86fe5598f7,peeking,11/12/2020 8:00,photo,healthy eating,neutral,35
77,230c4e4d-70c3-461d-b42c-ec09396efb3f,b76ebf8d-3f04-4e7f-aec8-22575f68d9e2,heart,6/21/2020 16:57,photo,healthy eating,positive,60
78,230c4e4d-70c3-461d-b42c-ec09396efb3f,a6668254-c779-424c-8c8b-1762bf45916e,super love,3/4/2021 23:58,photo,healthy eating,positive,75
79,230c4e4d-70c3-461d-b42c-ec09396efb3f,7f8ef27a-73f4-4bc1-aa62-f8aaea817294,want,7/9/2020 16:47,photo,healthy eating,positive,70
80,230c4e4d-70c3-461d-b42c-ec09396efb3f,b6d04982-1509-41ab-a700-b390d6cb4d02,hate,8/1/2020 19:16,photo,healthy eating,negative,5
81,230c4e4d-70c3-461d-b42c-ec09396efb3f,225f147b-0951-40a8-96fb-2ceba9f3153a,dislike,11/23/2020 22:46,photo,healthy eating,negative,10
82,230c4e4d-70c3-461d-b42c-ec09396efb3f,,scared,12/11/2020 14:08,photo,healthy eating,negative,15
83,230c4e4d-70c3-461d-b42c-ec09396efb3f,e74edcea-5db4-4412-a4ce-eb7c5adc314a,dislike,4/23/2021 23:41,photo,healthy eating,negative,10
84,230c4e4d-70c3-461d-b42c-ec09396efb3f,9b6d35f9-5e15-4cd0-a8d7-b1f3340e02c4,want,11/13/2020 0:33,photo,healthy eating,positive,70
85,230c4e4d-70c3-461d-b42c-ec09396efb3f,ab9a4d70-3ae4-48d6-b161-c18bd687c3b4,interested,6/9/2021 10:13,photo,healthy eating,positive,30
86,230c4e4d-70c3-461d-b42c-ec09396efb3f,94bf7864-a52e-405e-a729-9702bf79c234,love,10/29/2020 19:41,photo,healthy eating,positive,65
87,230c4e4d-70c3-461d-b42c-ec09396efb3f,31d378e7-9e95-4e8a-b564-7fd346027dfe,heart,5/14/2021 12:47,photo,healthy eating,positive,60
88,230c4e4d-70c3-461d-b42c-ec09396efb3f,ef147ea5-9696-44d5-b6c2-a43f62fd8ce2,disgust,8/4/2020 5:40,photo,healthy eating,negative,0
89,230c4e4d-70c3-461d-b42c-ec09396efb3f,29ba1f29-2e45-41bd-9c43-05d0dae6c1c6,adore,8/7/2020 4:09,photo,healthy eating,positive,72
90,230c4e4d-70c3-461d-b42c-ec09396efb3f,cab84c6a-e342-43ab-85a1-9c6ac1e93bac,adore,10/23/2020 21:19,photo,healthy eating,positive,72
91,230c4e4d-70c3-461d-b42c-ec09396efb3f,ba55c3a8-5ab2-486a-8c90-b972117453bb,adore,11/14/2020 23:53,photo,healthy eating,positive,72
92,230c4e4d-70c3-461d-b42c-ec09396efb3f,,worried,8/4/2020 19:26,photo,healthy eating,negative,12
93,230c4e4d-70c3-461d-b42c-ec09396efb3f,9a84c667-c913-47ce-be69-0f847dbfe0db,interested,11/12/2020 4:54,photo,healthy eating,positive,30
95,356fff80-da4d-4785-9f43-bc1261031dc6,c8145b49-3841-466e-9d49-a636ce2e7d1f,worried,4/3/2021 12:17,photo,technology,negative,12
96,356fff80-da4d-4785-9f43-bc1261031dc6,ef56931b-540b-4166-9090-73ae48ac8d97,want,9/27/2020 22:15,photo,technology,positive,70
97,356fff80-da4d-4785-9f43-bc1261031dc6,241d5c6e-06c7-491b-b23e-f8d6ddc0240a,heart,10/27/2020 5:45,photo,technology,positive,60
98,356fff80-da4d-4785-9f43-bc1261031dc6,8f41c07f-db4f-44f3-ae81-1f99cee047eb,scared,10/15/2020 9:11,photo,technology,negative,15
99,356fff80-da4d-4785-9f43-bc1261031dc6,2ef20e99-8be8-4ab6-a817-83991f7a0fa3,heart,5/7/2021 9:16,photo,technology,positive,60
100,356fff80-da4d-4785-9f43-bc1261031dc6,0c5b0547-820a-4beb-832e-3162f74ccfa7,hate,9/16/2020 8:39,photo,technology,negative,5
101,356fff80-da4d-4785-9f43-bc1261031dc6,de1d478e-3552-4223-b039-d3086cc485ec,indifferent,10/29/2020 15:38,photo,technology,neutral,20
103,01ab84dd-6364-4236-abbb-3f237db77180,f9ecf6a2-8402-43b3-bf22-8cd54394ea02,scared,5/24/2021 18:03,video,food,negative,15
105,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,b7fb2028-4cfc-440b-a1b1-4101f12f7abe,interested,2/25/2021 20:02,GIF,cooking,positive,30
106,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,2546684f-0387-4c46-b19b-9a5ddb2ef221,hate,5/2/2021 3:45,GIF,cooking,negative,5
107,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,bc142f57-1307-46c6-9975-8c3a1e5f540c,want,1/28/2021 8:49,GIF,cooking,positive,70
108,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,766886c9-a63a-4446-bb4a-07d611b3b212,peeking,2/15/2021 13:06,GIF,cooking,neutral,35
109,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,d16ed6bf-d35e-463b-92b0-393ee67e220c,dislike,11/4/2020 21:25,GIF,cooking,negative,10
110,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,4172c4ea-8fd9-4e50-bd2c-7020eab84f34,love,6/23/2020 22:12,GIF,cooking,positive,65
111,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,132b1407-16fa-48f8-8112-3e426974bbb7,cherish,2/16/2021 4:01,GIF,cooking,positive,70
112,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,9bb5d084-0b28-4352-8591-5b5a4efecdf0,interested,1/3/2021 8:44,GIF,cooking,positive,30
113,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,49da0743-cb4d-4c84-b6a2-537bbe7256d1,adore,11/25/2020 12:45,GIF,cooking,positive,72
114,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,,like,12/3/2020 16:47,GIF,cooking,positive,50
115,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,8b49caad-bcc5-43de-bf40-34a66ff8805c,like,5/22/2021 21:03,GIF,cooking,positive,50
116,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,4c0558bc-b0d9-44b0-8b70-5fc6acb6c362,cherish,1/18/2021 13:39,GIF,cooking,positive,70
117,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,3205ad12-726a-4b65-a15a-1a899a9d310b,indifferent,1/6/2021 0:35,GIF,cooking,neutral,20
118,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,1f81cb56-5258-4f9e-ab2c-4dfb581b44cb,adore,5/14/2021 14:33,GIF,cooking,positive,72
119,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,15c2ba5b-eeb6-4d9b-a0e2-7d5461a21c0a,worried,5/27/2021 15:21,GIF,cooking,negative,12
120,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,80fc5e28-17ac-4e79-b9df-0d500abbe8b5,peeking,7/21/2020 2:12,GIF,cooking,neutral,35
121,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,48bed4d7-0329-472c-96d9-b23a103eb834,dislike,5/26/2021 6:09,GIF,cooking,negative,10
122,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cab84c6a-e342-43ab-85a1-9c6ac1e93bac,dislike,2/25/2021 3:16,GIF,cooking,negative,10
123,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,0c347562-ce55-450b-91ab-0707662b36f5,intrigued,12/7/2020 22:50,GIF,cooking,positive,45
124,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,,indifferent,10/24/2020 14:06,GIF,cooking,neutral,20
125,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,a6f003be-b0fd-4100-b4cc-f568a21b9745,peeking,9/1/2020 21:18,GIF,cooking,neutral,35
126,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,d27670c9-f85e-43e0-80a7-122cba908f10,adore,5/10/2021 22:07,GIF,cooking,positive,72
128,3f8590c7-6ab2-4973-805a-90cdec355f05,0c5b0547-820a-4beb-832e-3162f74ccfa7,cherish,2/12/2021 16:37,video,dogs,positive,70
129,3f8590c7-6ab2-4973-805a-90cdec355f05,2ef20e99-8be8-4ab6-a817-83991f7a0fa3,heart,4/28/2021 15:22,video,dogs,positive,60
